Age,Gender,Marital Status,Income,home_ownership,length_of_employment,purpose_of_loan,loan_grade,loan_amount,interest_rate,loan_status,loan_percent_income,History_of_Default,Length_of_Default_History,Debt-to-Income Ratio,Length_of_employment in years
22,0,2,70000,MORTGAGE,3,BUSINESS USE,B,14400,12,0,0.21,N,4,0.205714286,0.25
23,1,3,47233,RENT,7,DEBT CONSOLIDATION,B,5000,11,0,0.11,N,4,0.105858192,0.583333333
26,0,4,51600,OWN,10,EDUCATION,B,15000,10,0,0.29,N,4,0.290697674,0.833333333
24,0,0,72000,MORTGAGE,1,BUSINESS USE,A,12000,5,0,0.17,N,4,0.166666667,0.083333333
21,1,2,44004,RENT,2,EDUCATION,B,7000,11,1,0.16,N,2,0.159076448,0.166666667
23,0,1,60000,RENT,4,EDUCATION,A,7000,6,0,0.12,N,4,0.116666667,0.333333333
23,0,3,63000,RENT,0,BUSINESS USE,D,16000,14,1,0.25,Y,2,0.253968254,0
23,0,2,42000,RENT,2,EDUCATION,B,6500,10,0,0.15,N,3,0.154761905,0.166666667
23,0,2,65000,RENT,7,EDUCATION,B,3600,11,0,0.06,N,3,0.055384615,0.583333333
25,1,3,48500,OTHER,1,PERSONAL USE,E,19500,16,1,0.4,N,3,0.402061856,0.083333333
21,1,3,42000,RENT,5,BUSINESS USE,D,1000,16,1,0.02,N,4,0.023809524,0.416666667
26,0,1,45000,MORTGAGE,0,DEBT CONSOLIDATION,C,7750,13,0,0.17,N,4,0.172222222,0
25,1,2,120000,RENT,9,BUSINESS USE,C,4800,14,0,0.04,N,4,0.04,0.75
25,1,2,49000,RENT,10,EDUCATION,A,9600,8,1,0.2,N,4,0.195918367,0.833333333
26,1,1,22800,RENT,4,PERSONAL USE,C,5000,14,0,0.22,Y,2,0.219298246,0.333333333
22,1,1,55000,MORTGAGE,6,BUSINESS USE,A,10000,6,0,0.18,N,2,0.181818182,0.5
23,1,1,36000,MORTGAGE,6,PERSONAL USE,C,14000,13,0,0.39,N,3,0.388888889,0.5
24,0,3,70000,RENT,0,MEDICAL PURPOSES,A,10000,7,0,0.14,N,3,0.142857143,0
23,1,4,27000,RENT,6,EDUCATION,C,6000,12,0,0.22,Y,3,0.222222222,0.5
22,1,2,58608,RENT,4,MEDICAL PURPOSES,A,10000,8,0,0.17,N,2,0.170625171,0.333333333
22,1,2,39000,OWN,6,MEDICAL PURPOSES,A,1000,11.04695559,0,0.03,N,2,0.025641026,0.5
22,1,3,185000,RENT,4,EDUCATION,B,25000,11,0,0.14,N,4,0.135135135,0.333333333
23,0,1,80400,RENT,4,EDUCATION,A,9000,8,0,0.11,N,4,0.111940299,0.333333333
24,1,3,41000,RENT,1,DEBT CONSOLIDATION,C,7000,13,0,0.17,N,2,0.170731707,0.083333333
25,1,4,57000,RENT,1,PERSONAL USE,B,9500,13,0,0.17,N,2,0.166666667,0.083333333
26,1,4,51600,RENT,1,EDUCATION,A,5000,9,1,0.1,N,2,0.096899225,0.083333333
22,0,3,20000,RENT,2,BUSINESS USE,B,5000,12,0,0.25,N,2,0.25,0.166666667
25,0,3,60000,MORTGAGE,2,PERSONAL USE,B,6900,10,0,0.12,N,2,0.115,0.166666667
24,1,4,50500,RENT,7,EDUCATION,A,9600,11.04695559,0,0.19,N,4,0.19009901,0.583333333
23,0,2,33000,RENT,4,EDUCATION,C,8000,11.04695559,0,0.24,N,3,0.242424242,0.333333333
24,0,4,38000,MORTGAGE,3,DEBT CONSOLIDATION,B,16000,11,0,0.42,N,2,0.421052632,0.25
21,1,4,104740,MORTGAGE,5,EDUCATION,B,19200,12,0,0.18,N,2,0.183311056,0.416666667
26,0,3,76800,MORTGAGE,2,BUSINESS USE,A,12800,7,0,0.17,N,3,0.166666667,0.166666667
23,1,0,92004,MORTGAGE,7,EDUCATION,B,24250,11,0,0.26,N,2,0.263575497,0.583333333
23,1,2,44004,OWN,7,EDUCATION,A,17000,7,0,0.39,N,2,0.386328516,0.583333333
23,0,2,36100,RENT,2,DEBT CONSOLIDATION,A,5000,7,0,0.14,N,2,0.138504155,0.166666667
22,0,2,31000,RENT,5,PERSONAL USE,B,5550,11,1,0.18,N,3,0.179032258,0.416666667
24,0,3,49000,MORTGAGE,5,EDUCATION,A,2700,7,0,0.06,N,3,0.055102041,0.416666667
24,1,4,63410,MORTGAGE,3,MEDICAL PURPOSES,E,20000,18,1,0.27,N,4,0.315407664,0.25
25,0,0,70000,MORTGAGE,6,BUSINESS USE,A,14000,5,0,0.2,N,2,0.2,0.5
26,1,2,103000,MORTGAGE,10,EDUCATION,D,5000,15,0,0.05,N,4,0.048543689,0.833333333
22,1,1,21000,RENT,7,DEBT CONSOLIDATION,D,8000,17,1,0.38,Y,4,0.380952381,0.583333333
25,1,3,48600,RENT,0,MEDICAL PURPOSES,A,12000,11.04695559,0,0.25,N,2,0.24691358,0
25,1,2,27800,OWN,4.778936496,EDUCATION,A,14125,7,0,0.51,N,2,0.508093525,0.398244708
23,0,3,54000,RENT,7,BUSINESS USE,B,15550,12,0,0.29,N,4,0.287962963,0.583333333
25,1,3,42000,RENT,1,DEBT CONSOLIDATION,B,6000,11.04695559,0,0.14,N,2,0.142857143,0.083333333
24,0,0,53000,MORTGAGE,8,PERSONAL USE,D,10000,15,0,0.19,N,2,0.188679245,0.666666667
24,1,2,86400,MORTGAGE,2,DEBT CONSOLIDATION,A,12200,7,0,0.14,N,2,0.141203704,0.166666667
24,1,2,90000,MORTGAGE,8,HOME RENOVATIONS,C,5000,11,0,0.06,Y,3,0.055555556,0.666666667
25,1,3,33000,MORTGAGE,6,BUSINESS USE,A,8000,7,0,0.24,N,3,0.242424242,0.5
24,1,1,70000,MORTGAGE,2,HOME RENOVATIONS,A,17000,8,0,0.24,N,4,0.242857143,0.166666667
24,0,2,12000,OWN,4,PERSONAL USE,B,2500,13,1,0.21,N,4,0.208333333,0.333333333
24,1,1,72000,OWN,4.778936496,EDUCATION,B,16000,12,0,0.22,N,2,0.222222222,0.398244708
24,0,2,28590,RENT,7,DEBT CONSOLIDATION,D,8000,16,1,0.28,Y,2,0.279818118,0.583333333
24,1,1,70550,RENT,8,MEDICAL PURPOSES,D,9000,15,1,0.11,Y,2,0.1275691,0.666666667
26,1,1,51000,MORTGAGE,10,DEBT CONSOLIDATION,D,13000,15,1,0.25,Y,2,0.254901961,0.833333333
26,0,4,33800,RENT,4,PERSONAL USE,C,13000,14,1,0.38,Y,2,0.384615385,0.333333333
22,1,2,74000,RENT,4,BUSINESS USE,A,5050,5,0,0.07,N,4,0.068243243,0.333333333
25,0,2,61000,RENT,9,MEDICAL PURPOSES,A,6000,11.04695559,0,0.1,N,3,0.098360656,0.75
24,1,3,91000,MORTGAGE,0,PERSONAL USE,A,1000,8,0,0.01,N,4,0.010989011,0
21,1,1,65004,MORTGAGE,5,EDUCATION,B,5000,10,0,0.08,N,4,0.076918343,0.416666667
24,0,4,83100,RENT,5,PERSONAL USE,E,5000,16,0,0.06,Y,3,0.060168472,0.416666667
22,1,1,40000,RENT,2,DEBT CONSOLIDATION,A,4000,11.04695559,0,0.1,N,3,0.1,0.166666667
26,1,4,54000,MORTGAGE,10,MEDICAL PURPOSES,A,8500,5,1,0.16,N,3,0.157407407,0.833333333
23,1,1,60000,MORTGAGE,6,EDUCATION,C,7000,13,0,0.12,Y,2,0.116666667,0.5
22,1,3,44004,RENT,2,DEBT CONSOLIDATION,A,5000,9,0,0.11,N,3,0.113626034,0.166666667
22,0,4,107000,MORTGAGE,6,HOME RENOVATIONS,E,24000,20,1,0.22,Y,4,0.224299065,0.5
23,1,3,25800,RENT,2,PERSONAL USE,C,6000,11.04695559,0,0.23,Y,4,0.23255814,0.166666667
24,0,3,90000,RENT,8,PERSONAL USE,B,10000,11.04695559,0,0.11,N,4,0.111111111,0.666666667
24,0,0,21600,RENT,4.778936496,EDUCATION,B,10000,10,1,0.46,N,3,0.462962963,0.398244708
26,1,3,59000,RENT,3,EDUCATION,C,20000,11.04695559,1,0.34,N,2,0.338983051,0.25
26,0,2,130000,MORTGAGE,5,EDUCATION,D,35000,18,0,0.27,N,3,0.269230769,0.416666667
26,1,2,84000,RENT,7,DEBT CONSOLIDATION,D,15000,16,1,0.18,Y,2,0.178571429,0.583333333
23,1,1,108366,RENT,7,HOME RENOVATIONS,F,35000,20,1,0.32,N,2,0.322979532,0.583333333
22,0,1,64000,RENT,5,DEBT CONSOLIDATION,A,6600,9,0,0.1,N,4,0.103125,0.416666667
23,1,1,40000,RENT,7,BUSINESS USE,B,10000,10,0,0.25,N,3,0.25,0.583333333
25,1,3,63128,RENT,4.778936496,BUSINESS USE,A,1500,7,0,0.02,N,2,0.023761247,0.398244708
26,1,2,48000,RENT,1,EDUCATION,E,15000,19,1,0.31,N,3,0.3125,0.083333333
25,1,4,56000,MORTGAGE,4.778936496,PERSONAL USE,A,5000,5,0,0.09,N,4,0.089285714,0.398244708
25,0,2,100000,MORTGAGE,9,PERSONAL USE,B,17600,11,0,0.18,N,3,0.176,0.75
26,1,2,80000,MORTGAGE,0,BUSINESS USE,A,6300,6,0,0.08,N,4,0.07875,0
24,0,1,425000,MORTGAGE,8,EDUCATION,A,10000,8,0,0.02,N,3,0.023529412,0.666666667
24,0,1,55680,MORTGAGE,4,PERSONAL USE,B,7875,11,0,0.14,N,3,0.14143319,0.333333333
24,0,0,140300,MORTGAGE,6,MEDICAL PURPOSES,B,6000,11,0,0.04,N,3,0.042765502,0.5
22,1,2,36000,MORTGAGE,3,DEBT CONSOLIDATION,A,5250,11.04695559,0,0.15,N,2,0.145833333,0.25
25,0,4,34000,RENT,10,DEBT CONSOLIDATION,B,20000,9,1,0.59,N,2,0.588235294,0.833333333
25,1,2,79404,OTHER,0,BUSINESS USE,D,20000,15,0,0.25,N,3,0.25187648,0
25,0,1,69000,RENT,3,DEBT CONSOLIDATION,D,10000,14,1,0.14,Y,2,0.144927536,0.25
21,1,1,30000,RENT,2,MEDICAL PURPOSES,D,5000,15,1,0.17,Y,4,0.166666667,0.166666667
22,1,2,60000,RENT,0,EDUCATION,A,6025,11.04695559,0,0.1,N,4,0.100416667,0
24,1,0,29232,MORTGAGE,1,BUSINESS USE,B,11000,12,0,0.38,N,2,0.376299945,0.083333333
23,0,1,37500,RENT,0,PERSONAL USE,A,1800,9,0,0.05,N,2,0.048,0
22,0,3,59000,RENT,2,DEBT CONSOLIDATION,B,11000,11,0,0.19,N,3,0.186440678,0.166666667
23,1,4,32388,MORTGAGE,0,BUSINESS USE,B,6000,11,0,0.19,N,4,0.185253798,0
23,0,0,48000,RENT,1,BUSINESS USE,C,10000,13,0,0.21,Y,3,0.208333333,0.083333333
22,1,0,36600,MORTGAGE,2,BUSINESS USE,A,9950,7,0,0.27,N,3,0.271857923,0.166666667
25,0,3,45000,MORTGAGE,5,EDUCATION,B,3800,11,0,0.08,N,3,0.084444444,0.416666667
23,0,1,100000,MORTGAGE,0,DEBT CONSOLIDATION,A,7000,9,0,0.07,N,4,0.07,0
25,1,3,29000,RENT,2,MEDICAL PURPOSES,C,2500,13,1,0.09,Y,4,0.086206897,0.166666667
22,0,1,12000,RENT,0,MEDICAL PURPOSES,A,6700,8,1,0.56,N,4,0.558333333,0
26,0,1,70000,RENT,2,DEBT CONSOLIDATION,B,10000,9,0,0.14,N,3,0.142857143,0.166666667
22,1,2,70800,RENT,6,EDUCATION,C,10000,13,0,0.14,N,2,0.141242938,0.5
24,0,3,30000,RENT,2,MEDICAL PURPOSES,A,3000,6,0,0.1,N,4,0.1,0.166666667
26,1,4,24500,RENT,4,EDUCATION,B,8875,10,1,0.36,N,3,0.362244898,0.333333333
23,1,3,40000,RENT,5,DEBT CONSOLIDATION,B,2000,12,0,0.05,N,4,0.05,0.416666667
25,0,1,174000,MORTGAGE,2,EDUCATION,C,8800,14,0,0.05,N,4,0.050574713,0.166666667
26,1,1,72600,MORTGAGE,3,BUSINESS USE,A,4500,8,0,0.06,N,3,0.061983471,0.25
26,1,2,75000,RENT,5,PERSONAL USE,A,20000,7,0,0.27,N,2,0.266666667,0.416666667
25,0,3,42000,RENT,2,BUSINESS USE,B,2000,9,0,0.05,N,3,0.047619048,0.166666667
22,1,0,89250,MORTGAGE,6,MEDICAL PURPOSES,D,7500,13,1,0.07,Y,2,0.084033613,0.5
21,0,2,12000,RENT,0,PERSONAL USE,C,2200,11.04695559,1,0.18,N,4,0.183333333,0
23,1,3,57600,MORTGAGE,0,EDUCATION,B,1000,11.04695559,0,0.02,N,2,0.017361111,0
23,1,1,50000,MORTGAGE,6,BUSINESS USE,B,17000,12,0,0.34,N,4,0.34,0.5
25,1,4,70000,MORTGAGE,6,HOME RENOVATIONS,B,12000,10,0,0.17,N,4,0.171428571,0.5
21,0,0,30000,RENT,1,BUSINESS USE,C,6000,13,1,0.2,N,4,0.2,0.083333333
22,0,1,100000,MORTGAGE,3,EDUCATION,B,12000,11,0,0.12,N,4,0.12,0.25
22,0,2,33300,RENT,0,MEDICAL PURPOSES,B,13250,11.04695559,1,0.4,N,3,0.397897898,0
23,0,3,19200,OWN,4.778936496,HOME RENOVATIONS,A,6000,7,1,0.31,N,4,0.3125,0.398244708
25,0,2,41000,RENT,3,PERSONAL USE,B,8000,11,0,0.2,N,2,0.195121951,0.25
24,1,1,55000,MORTGAGE,8,HOME RENOVATIONS,A,10000,6,0,0.18,N,2,0.181818182,0.666666667
24,0,1,35000,MORTGAGE,6,BUSINESS USE,B,8575,11,0,0.24,N,3,0.245,0.5
21,0,2,62000,MORTGAGE,2,PERSONAL USE,A,6000,8,0,0.1,N,4,0.096774194,0.166666667
23,1,3,54000,MORTGAGE,4.778936496,PERSONAL USE,B,5000,10,0,0.09,N,2,0.092592593,0.398244708
22,0,2,10800,RENT,4.778936496,MEDICAL PURPOSES,C,3600,12,1,0.33,Y,3,0.333333333,0.398244708
23,1,0,70000,OWN,0,BUSINESS USE,B,3600,11,0,0.05,N,4,0.051428571,0
23,0,4,100000,MORTGAGE,7,BUSINESS USE,B,25000,12,0,0.25,N,4,0.25,0.583333333
21,0,0,13806,RENT,6,EDUCATION,C,4750,13,1,0.34,Y,2,0.34405331,0.5
23,0,4,69743,MORTGAGE,7,BUSINESS USE,D,1000,14,0,0.01,N,2,0.014338357,0.583333333
23,1,1,41000,RENT,7,EDUCATION,A,4700,8,0,0.11,N,4,0.114634146,0.583333333
23,0,4,55000,MORTGAGE,5,MEDICAL PURPOSES,C,8000,14,0,0.15,Y,2,0.145454545,0.416666667
25,0,1,140000,MORTGAGE,9,PERSONAL USE,B,35000,11,0,0.25,N,4,0.25,0.75
23,1,3,43000,MORTGAGE,1,EDUCATION,A,9000,10,0,0.21,N,2,0.209302326,0.083333333
22,0,0,31200,RENT,1,EDUCATION,B,3200,12,0,0.1,N,4,0.102564103,0.083333333
23,0,3,46852,RENT,3,EDUCATION,B,6800,11,1,0.15,N,4,0.145137881,0.25
23,1,3,72000,MORTGAGE,7,BUSINESS USE,A,9000,7,0,0.13,N,2,0.125,0.583333333
21,0,2,39900,RENT,3,EDUCATION,B,6000,11,0,0.15,N,2,0.15037594,0.25
26,1,2,59000,RENT,3,MEDICAL PURPOSES,D,12000,11.04695559,1,0.2,N,4,0.203389831,0.25
22,0,2,67500,RENT,1,BUSINESS USE,B,7500,10,0,0.11,N,3,0.111111111,0.083333333
21,1,2,23000,MORTGAGE,2,DEBT CONSOLIDATION,A,7000,9,0,0.3,N,4,0.304347826,0.166666667
24,0,3,30000,RENT,6,DEBT CONSOLIDATION,A,6000,8,0,0.2,N,3,0.2,0.5
22,0,3,50000,MORTGAGE,6,BUSINESS USE,B,10000,10,0,0.2,N,4,0.2,0.5
21,1,4,18000,RENT,0,DEBT CONSOLIDATION,A,3000,8,1,0.17,N,2,0.166666667,0
24,1,0,34900,RENT,3,BUSINESS USE,B,5000,11,0,0.14,N,3,0.143266476,0.25
21,1,4,18000,RENT,1,BUSINESS USE,A,3200,8,1,0.18,N,2,0.177777778,0.083333333
25,0,0,98000,OWN,0,HOME RENOVATIONS,A,2000,7,0,0.02,N,3,0.020408163,0
23,0,1,51996,RENT,7,PERSONAL USE,C,4000,14,0,0.08,Y,2,0.076928995,0.583333333
26,1,4,100000,MORTGAGE,7,DEBT CONSOLIDATION,A,7500,8,0,0.07,N,3,0.075,0.583333333
23,0,1,33000,RENT,5,BUSINESS USE,D,4800,15,0,0.15,N,4,0.145454545,0.416666667
24,1,2,112000,MORTGAGE,8,PERSONAL USE,A,3500,5,0,0.03,N,4,0.03125,0.666666667
23,1,4,32000,RENT,0,EDUCATION,A,4000,8,0,0.13,N,3,0.125,0
26,0,2,67983,MORTGAGE,7,MEDICAL PURPOSES,D,15000,16,1,0.19,N,3,0.220643396,0.583333333
23,0,2,20400,RENT,2,MEDICAL PURPOSES,A,1200,8,0,0.06,N,2,0.058823529,0.166666667
24,1,3,45792,RENT,3,PERSONAL USE,B,17000,10,1,0.37,N,3,0.371243885,0.25
25,0,3,56004,RENT,3,PERSONAL USE,C,7000,14,0,0.12,N,4,0.124991072,0.25
25,0,3,35000,OWN,9,BUSINESS USE,C,4000,13,0,0.11,N,4,0.114285714,0.75
25,0,0,30000,RENT,6,MEDICAL PURPOSES,B,4000,10,0,0.13,N,3,0.133333333,0.5
23,1,3,92000,MORTGAGE,7,EDUCATION,C,18000,13,0,0.2,N,2,0.195652174,0.583333333
24,0,3,56100,RENT,4,MEDICAL PURPOSES,D,20000,15,1,0.3,Y,4,0.356506239,0.333333333
23,0,3,69996,RENT,7,DEBT CONSOLIDATION,C,5600,13,0,0.08,N,4,0.080004572,0.583333333
23,1,1,37000,MORTGAGE,3,MEDICAL PURPOSES,D,3600,16,1,0.1,N,4,0.097297297,0.25
25,0,4,43000,MORTGAGE,5,DEBT CONSOLIDATION,A,10000,8,0,0.23,N,3,0.23255814,0.416666667
24,1,2,62000,MORTGAGE,7,PERSONAL USE,A,6200,11.04695559,0,0.1,N,2,0.1,0.583333333
23,1,1,60000,RENT,2,BUSINESS USE,A,9000,6,0,0.15,N,2,0.15,0.166666667
23,1,0,32000,RENT,0,MEDICAL PURPOSES,C,8500,13,0,0.27,Y,4,0.265625,0
24,1,3,42000,RENT,0,MEDICAL PURPOSES,A,12000,8,0,0.29,N,2,0.285714286,0
25,1,2,43200,OWN,9,BUSINESS USE,B,13800,11,0,0.32,N,2,0.319444444,0.75
24,0,0,80000,MORTGAGE,8,BUSINESS USE,D,5000,16,0,0.06,N,2,0.0625,0.666666667
25,1,0,77000,MORTGAGE,1,DEBT CONSOLIDATION,F,7200,19,1,0.09,N,2,0.093506494,0.083333333
24,1,2,62500,MORTGAGE,2,EDUCATION,A,6000,6,0,0.1,N,3,0.096,0.166666667
25,0,2,63600,MORTGAGE,9,DEBT CONSOLIDATION,B,7000,11,1,0.11,N,4,0.110062893,0.75
22,0,2,19200,MORTGAGE,3,EDUCATION,D,5000,15,1,0.26,Y,2,0.260416667,0.25
22,1,2,89000,MORTGAGE,6,BUSINESS USE,C,16000,13,0,0.18,N,2,0.179775281,0.5
24,1,2,80000,MORTGAGE,6,EDUCATION,A,16000,8,0,0.2,N,3,0.2,0.5
24,0,0,59000,MORTGAGE,3,EDUCATION,C,6800,13,1,0.12,N,2,0.115254237,0.25
25,1,4,34000,RENT,0,EDUCATION,C,10000,14,1,0.29,Y,2,0.294117647,0
22,0,3,50000,OWN,3,BUSINESS USE,A,6000,9,0,0.12,N,4,0.12,0.25
24,1,4,30000,RENT,0,PERSONAL USE,E,10000,19,1,0.33,N,3,0.333333333,0
24,1,3,46000,RENT,0,PERSONAL USE,D,5975,14,1,0.13,Y,4,0.129891304,0
25,1,1,80000,RENT,0,BUSINESS USE,B,16000,10,0,0.2,N,2,0.2,0
24,1,2,89772,RENT,8,DEBT CONSOLIDATION,C,6000,14,0,0.07,Y,3,0.066835984,0.666666667
25,1,0,33000,MORTGAGE,9,BUSINESS USE,B,3000,12,0,0.09,N,3,0.090909091,0.75
21,0,0,20000,RENT,0,MEDICAL PURPOSES,A,2000,11.04695559,0,0.1,N,3,0.1,0
23,1,1,54000,RENT,7,EDUCATION,B,1500,10,0,0.03,N,4,0.027777778,0.583333333
22,0,1,30000,RENT,4,MEDICAL PURPOSES,C,6500,14,0,0.22,N,3,0.216666667,0.333333333
24,0,1,70000,RENT,4,BUSINESS USE,C,14400,13,0,0.21,N,4,0.205714286,0.333333333
23,1,2,96000,RENT,7,EDUCATION,B,10000,11,0,0.1,N,3,0.104166667,0.583333333
22,1,4,39000,MORTGAGE,6,EDUCATION,A,7000,9,1,0.18,N,3,0.179487179,0.5
26,1,0,105000,MORTGAGE,11,MEDICAL PURPOSES,A,5000,8,0,0.05,N,4,0.047619048,0.916666667
22,1,2,56000,RENT,6,EDUCATION,E,18250,17,1,0.33,N,3,0.325892857,0.5
23,1,2,100000,RENT,4,EDUCATION,B,4150,11,0,0.04,N,4,0.0415,0.333333333
22,1,1,48000,RENT,0,EDUCATION,A,1000,7,0,0.02,N,4,0.020833333,0
21,0,3,35000,RENT,6,BUSINESS USE,A,10000,8,0,0.29,N,3,0.285714286,0.5
21,1,1,39900,RENT,0,EDUCATION,A,12000,8,0,0.3,N,4,0.30075188,0
22,1,4,19008,OWN,4.778936496,BUSINESS USE,A,12000,5,1,0.63,N,2,0.631313131,0.398244708
25,0,3,30000,RENT,2,MEDICAL PURPOSES,B,2000,10,0,0.07,N,3,0.066666667,0.166666667
25,1,0,96000,RENT,3,DEBT CONSOLIDATION,B,12000,12,0,0.13,N,3,0.125,0.25
25,0,0,101424,RENT,6,PERSONAL USE,A,2000,7,0,0.02,N,3,0.019719199,0.5
26,0,0,26400,MORTGAGE,10,DEBT CONSOLIDATION,C,8500,13,0,0.32,N,4,0.321969697,0.833333333
24,0,4,29200,MORTGAGE,6,DEBT CONSOLIDATION,A,2500,7,0,0.09,N,2,0.085616438,0.5
25,1,4,44000,RENT,2,PERSONAL USE,D,10000,16,1,0.23,N,2,0.227272727,0.166666667
25,1,3,45000,RENT,2,EDUCATION,A,11250,9,0,0.25,N,4,0.25,0.166666667
24,1,1,56000,MORTGAGE,8,DEBT CONSOLIDATION,E,20000,17,1,0.36,Y,4,0.357142857,0.666666667
22,0,3,33000,RENT,1,EDUCATION,B,5000,10,0,0.15,N,2,0.151515152,0.083333333
24,1,1,70000,MORTGAGE,8,DEBT CONSOLIDATION,B,25000,10,0,0.36,N,4,0.357142857,0.666666667
23,0,2,68000,MORTGAGE,5,MEDICAL PURPOSES,B,11500,10,0,0.17,N,2,0.169117647,0.416666667
22,1,3,37200,RENT,2,EDUCATION,A,10000,7,0,0.27,N,2,0.268817204,0.166666667
22,1,1,25200,RENT,7,DEBT CONSOLIDATION,D,7500,15,1,0.3,N,3,0.297619048,0.583333333
24,0,3,62400,RENT,8,EDUCATION,B,15000,9,0,0.24,N,2,0.240384615,0.666666667
26,0,4,40000,RENT,11,PERSONAL USE,B,5000,10,0,0.13,N,3,0.125,0.916666667
25,0,4,80004,RENT,9,BUSINESS USE,C,20000,14,0,0.25,N,2,0.249987501,0.75
23,0,0,55000,RENT,7,MEDICAL PURPOSES,B,4200,10,0,0.08,N,4,0.076363636,0.583333333
25,0,3,100000,RENT,2,HOME RENOVATIONS,D,21000,16,1,0.21,Y,3,0.21,0.166666667
22,1,4,50004,RENT,2,EDUCATION,A,4000,7,0,0.08,N,4,0.079993601,0.166666667
21,1,1,38400,RENT,5,EDUCATION,B,5000,11,0,0.13,N,3,0.130208333,0.416666667
24,0,2,61400,RENT,1,DEBT CONSOLIDATION,C,12250,12,0,0.2,Y,2,0.199511401,0.083333333
23,1,3,53664,MORTGAGE,7,DEBT CONSOLIDATION,B,15000,11,0,0.28,N,2,0.279516995,0.583333333
22,0,3,62000,RENT,0,MEDICAL PURPOSES,C,8400,13,0,0.14,N,3,0.135483871,0
22,0,3,35325,RENT,2,EDUCATION,D,6500,16,1,0.18,N,3,0.184005662,0.166666667
23,0,2,50000,RENT,5,EDUCATION,B,10000,10,0,0.2,N,3,0.2,0.416666667
25,1,2,45600,MORTGAGE,7,EDUCATION,C,13000,13,0,0.29,N,2,0.285087719,0.583333333
21,0,2,47500,RENT,2,EDUCATION,B,7500,11,0,0.16,N,3,0.157894737,0.166666667
23,0,2,58000,RENT,4,EDUCATION,B,8000,10,0,0.14,N,2,0.137931034,0.333333333
22,1,2,60000,MORTGAGE,6,MEDICAL PURPOSES,A,7000,7,0,0.12,N,3,0.116666667,0.5
22,0,1,41604,OWN,1,EDUCATION,B,14400,11.04695559,0,0.35,N,4,0.346120565,0.083333333
23,0,3,75000,RENT,0,BUSINESS USE,B,10000,11,0,0.13,N,4,0.133333333,0
26,0,3,62500,RENT,7,MEDICAL PURPOSES,C,12000,12,0,0.19,Y,4,0.192,0.583333333
22,1,1,33685,MORTGAGE,6,DEBT CONSOLIDATION,C,5000,14,0,0.15,N,3,0.148434021,0.5
23,0,2,78000,RENT,7,MEDICAL PURPOSES,B,20000,11.04695559,0,0.26,N,4,0.256410256,0.583333333
21,1,4,98000,MORTGAGE,5,DEBT CONSOLIDATION,B,6000,11,0,0.06,N,4,0.06122449,0.416666667
23,1,0,85596,MORTGAGE,5,BUSINESS USE,B,6000,10,0,0.07,N,2,0.070096733,0.416666667
24,0,3,45000,RENT,1,DEBT CONSOLIDATION,B,12000,11,0,0.27,N,3,0.266666667,0.083333333
23,1,1,33359,RENT,2,MEDICAL PURPOSES,A,9000,11.04695559,1,0.27,N,4,0.26979226,0.166666667
26,0,2,55000,RENT,1,DEBT CONSOLIDATION,A,3200,8,0,0.06,N,2,0.058181818,0.083333333
23,0,0,27996,RENT,3,BUSINESS USE,C,5500,13,0,0.2,N,2,0.196456637,0.25
23,0,1,18000,RENT,5,DEBT CONSOLIDATION,B,4000,11,1,0.22,N,3,0.222222222,0.416666667
22,1,1,95000,MORTGAGE,1,BUSINESS USE,C,7200,12,0,0.08,Y,4,0.075789474,0.083333333
25,1,4,69996,RENT,9,EDUCATION,D,25000,15,1,0.36,N,4,0.357163266,0.75
26,0,2,27983,MORTGAGE,7,BUSINESS USE,A,6000,8,0,0.21,N,3,0.214415895,0.583333333
23,1,2,85500,RENT,1,DEBT CONSOLIDATION,C,17000,13,0,0.2,Y,3,0.198830409,0.083333333
26,1,2,44400,MORTGAGE,4.778936496,DEBT CONSOLIDATION,C,6500,14,0,0.15,N,3,0.146396396,0.398244708
22,0,1,58000,OTHER,3,BUSINESS USE,C,15000,14,0,0.26,Y,2,0.25862069,0.25
22,1,4,45000,RENT,4,DEBT CONSOLIDATION,A,5400,7,0,0.12,N,2,0.12,0.333333333
23,0,2,43500,RENT,0,PERSONAL USE,C,10450,14,0,0.24,N,3,0.240229885,0
26,0,1,102000,MORTGAGE,3,EDUCATION,B,20000,11,0,0.2,N,4,0.196078431,0.25
22,0,3,74000,MORTGAGE,6,MEDICAL PURPOSES,A,2500,7,0,0.03,N,3,0.033783784,0.5
24,1,0,23000,RENT,4,BUSINESS USE,A,5500,7,0,0.24,N,3,0.239130435,0.333333333
23,0,1,49000,MORTGAGE,7,EDUCATION,C,4000,14,0,0.08,N,3,0.081632653,0.583333333
23,0,4,50000,MORTGAGE,3,PERSONAL USE,B,10000,11,0,0.2,N,3,0.2,0.25
26,0,1,85000,MORTGAGE,1,DEBT CONSOLIDATION,C,15000,13,0,0.18,N,3,0.176470588,0.083333333
22,1,0,48000,RENT,1,EDUCATION,B,7200,10,0,0.15,N,3,0.15,0.083333333
23,0,0,57355,MORTGAGE,5,MEDICAL PURPOSES,C,25000,13,1,0.37,N,3,0.435881789,0.416666667
24,0,2,30996,RENT,7,BUSINESS USE,E,7000,17,0,0.23,Y,2,0.225835592,0.583333333
